
    # |      % | total% | amount | word
 ---------------------------------------
  547 |  0.017 | 70.841 |    343 | subject 
  548 |  0.017 | 70.858 |    342 | street 
  549 |  0.017 | 70.876 |    342 | afraid 
  550 |  0.017 | 70.893 |    342 | doing 
  551 |  0.017 | 70.910 |    341 | copy 
  552 |  0.017 | 70.927 |    341 | aunt 
  553 |  0.017 | 70.944 |    340 | possible 
  554 |  0.017 | 70.962 |    339 | big 
  555 |  0.017 | 70.978 |    337 | thee 
  556 |  0.017 | 70.995 |    336 | early 
  557 |  0.017 | 71.012 |    336 | lorry 
  558 |  0.017 | 71.029 |    334 | hall 
  559 |  0.017 | 71.046 |    334 | won't 
  560 |  0.017 | 71.063 |    334 | united 
  561 |  0.017 | 71.080 |    334 | van 
  562 |  0.017 | 71.096 |    332 | fellow 
  563 |  0.017 | 71.113 |    332 | minutes 
  564 |  0.017 | 71.130 |    330 | wind 
  565 |  0.017 | 71.146 |    329 | wonder 
  566 |  0.017 | 71.163 |    328 | that's 
  567 |  0.016 | 71.179 |    327 | archive 
  568 |  0.016 | 71.196 |    325 | lips 
  569 |  0.016 | 71.212 |    325 | sweet 
  570 |  0.016 | 71.228 |    325 | ain't 
  571 |  0.016 | 71.245 |    324 | easy 
  572 |  0.016 | 71.261 |    324 | standing 
  573 |  0.016 | 71.277 |    324 | bear 
  574 |  0.016 | 71.294 |    323 | getting 
  575 |  0.016 | 71.310 |    323 | brother 
  576 |  0.016 | 71.326 |    323 | son 
